Внутрішній код товару;Штриховий код товару;Код товару за УКТЗЕД;Код послуги за ДКПП;Найменування товару;Код одиниці виміру;Найменування одиниці виміру;Ціна (грн);ПДВ – літера;ПДВ – ставка (%);Збір – літера;Збір – ставка (%);Позначка акцизної марки
"108";"2000000001081";"";"";"ДОК 6 ГЛЯНЕЦ";"";"шт";"70";"";"";"";"";""
"108";"2000000001081";"";"";"ДОК 6 ГЛЯНЕЦ";"";"шт";"80";"";"";"";"";""
"120";"2000000001203";"";"";"ДОК 6 МАТ";"";"шт";"70";"";"";"";"";""
"128";"2000000001289";"";"";"ДОК 8 ГЛЯНЕЦ";"";"шт";"80";"";"";"";"";""
"128";"2000000001289";"";"";"ДОК 8 ГЛЯНЕЦ";"";"шт";"90";"";"";"";"";""
"133";"2000000001333";"";"";"ДОК 8 МАТ";"";"шт";"80";"";"";"";"";""
"137";"2000000001371";"";"";"ДОК 4 МАТ";"";"шт";"60";"";"";"";"";""
"138";"2000000001388";"";"";"ДОК 2 МАТ";"";"шт";"50";"";"";"";"";""
"139";"2000000001395";"";"";"ДОК 1 МАТ";"";"шт";"50";"";"";"";"";""
"140";"2000000001401";"";"";"ДОК 4 ГЛЯНЕЦ";"";"шт";"60";"";"";"";"";""
"141";"2000000001418";"";"";"ДОК 1 ГЛЯНЕЦ";"";"шт";"50";"";"";"";"";""
"142";"2000000001425";"";"";"ДОК 2 ГЛЯНЕЦ";"";"шт";"50";"";"";"";"";""
"144";"2000000001449";"";"";"ФОТО 10*15 ГЛЯНЕЦ";"";"шт";"10";"";"";"";"";""
"145";"2000000001456";"";"";"ФОТО 10*15 МАТ";"";"шт";"10";"";"";"";"";""
"151";"2000000001517";"";"";"ФОТО 15*20 ЛЯНЕЦ";"";"шт";"15";"";"";"";"";""
"151";"2000000001517";"";"";"ФОТО 15*20 ЛЯНЕЦ";"";"шт";"20";"";"";"";"";""
"150";"2000000001500";"";"";"Восстановление ноутбука после залития";"";"шт";"1300";"";"";"";"";""
"163";"2000000001630";"";"";"БУ ноутбук Acer Emachines E440 без жесткого диска, без аккумулятора, без блока питания. гарантия до 29.07.2019г";"";"шт";"2100";"";"";"";"";""
"170";"2000000001708";"";"";"Ремонт средней сложности";"";"шт";"600";"";"";"";"";""
"171";"2000000001715";"";"";"HDD 2.5 SATA 500GB i.norys 5400rpm 8MB (INO-IHDD0500S2-N1-5408) S/N: TPPY17101028805 12мес";"";"шт";"1200";"";"";"";"";""
"176";"2000000001760";"";"";"БУ ноутбук Acer Emachines E440 без жесткого диска, без аккумулятора, без блока питания. гарантия до 29.07.2019г";"";"шт";"3000";"";"";"";"";""
"28";"2000000000282";"";"";"Мультирамка Дерево 6 белый/бронза";"";"шт";"240";"";"";"";"";""
"32";"2000000000329";"";"";"Мультирамка КОЛЛАЖ 5 фото";"";"шт";"280";"";"";"";"";""
"62";"2000000000626";"";"";"Мультирамка МИШКИ тройная";"";"шт";"290";"";"";"";"";""
"154";"2000000001548";"";"";"Мультирамка 2 фото 10x15";"";"шт";"150";"";"";"";"";""
"196";"2000000001968";"";"";"Мультирамка 4 фото 10x15 дерево";"";"шт";"170";"";"";"";"";""
"202";"2000000002026";"";"";"Мультирамка 5 фото 10x15 РЫБАК";"";"шт";"260";"";"";"";"";""
"188";"2000000001883";"";"";"Пазлы для сублимации А4 магнитный";"";"шт";"215";"";"";"";"";""
"188";"2000000001883";"";"";"Пазлы для сублимации А4 магнитный";"";"шт";"185";"";"";"";"";""
"189";"2000000001890";"";"";"Пазлы для сублимации А4";"";"шт";"185";"";"";"";"";""
"193";"2000000001937";"";"";"Коврик для мыши сублимационный 3мм";"";"шт";"150";"";"";"";"";""
"97";"2000000000978";"";"";"Сувенирная футболка с ФОТО";"";"шт";"300";"";"";"";"";""
"98";"2000000000985";"";"";"Диагностика НОУТБУКА";"";"шт";"250";"";"";"";"";""
"121";"2000000001210";"";"";"КСЕРОКОПИЯ";"";"шт";"2";"";"";"";"";""
"122";"2000000001227";"";"";"Запись на НАКОПИТЕЛЬ";"";"шт";"10";"";"";"";"";""
"123";"2000000001234";"";"";"Электронная ПОЧТА";"";"шт";"10";"";"";"";"";""
"124";"2000000001241";"";"";"Ретушь ЛЕГКАЯ";"";"шт";"15";"";"";"";"";""
"125";"2000000001258";"";"";"Реставрация ПРОСТАЯ";"";"шт";"50";"";"";"";"";""
"126";"2000000001265";"";"";"Фото АБРИС 10*15";"";"шт";"7";"";"";"";"";""
"130";"2000000001302";"";"";"Ламинация 10*15";"";"шт";"8";"";"";"";"";""
"131";"2000000001319";"";"";"Ламинация 15*20";"";"шт";"12";"";"";"";"";""
"132";"2000000001326";"";"";"Ламинация 20*30";"";"шт";"15";"";"";"";"";""
"134";"2000000001340";"";"";"СКАНЕР";"";"шт";"5";"";"";"";"";""
"135";"2000000001357";"";"";"Фото АБРИС 15*20";"";"шт";"15";"";"";"";"";""
"136";"2000000001364";"";"";"Фото АБРИС 20*30";"";"шт";"25";"";"";"";"";""
"146";"2000000001463";"";"";"Чашка сувенирная с ФОТО";"";"шт";"200";"";"";"";"";""
"35";"2000000000350";"";"";"Фотоальбом HAPPY 72 фото рус. анкета 10*15";"";"шт";"195";"";"";"";"";""
"35";"2000000000350";"";"";"Фотоальбом HAPPY 72 фото рус. анкета 10*15";"";"шт";"230";"";"";"";"";""
"38";"2000000000381";"";"";"Фотоальбом МЕМО подарочный 200 фото 10*15";"";"шт";"250";"";"";"";"";""
"43";"2000000000435";"";"";"Фотоальбом СВАДЕБНЫЙ 200 фото";"";"шт";"280";"";"";"";"";""
"49";"2000000000497";"";"";"Фотоальбом 300 фото ЛЮБОВЬ";"";"шт";"350";"";"";"";"";""
"51";"2000000000510";"";"";"Фотоальбом ДЕТСКИЙ 18 магн. 2 анкеты.";"";"шт";"365";"";"";"";"";""
"53";"2000000000534";"";"";"Фотоальбом 300 фото 10*15 PU8304";"";"шт";"420";"";"";"";"";""
"54";"2000000000541";"";"";"Фотоальбом POLY детский";"";"шт";"340";"";"";"";"";""
"57";"2000000000572";"";"";"Фотоальбом СВАДЬБА";"";"шт";"410";"";"";"";"";""
"91";"2000000000916";"";"";"Фотоальбом 200 фото 10*15 MM46200SCOT";"";"шт";"595";"";"";"";"";""
"155";"2000000001555";"";"";"Фотоальбом НАШ МАЛЫШ хроника первого года";"";"шт";"155";"";"";"";"";""
"156";"2000000001562";"";"";"Фотоальбом НАШ МАЛЫШ/КА Umka 12магн. 28*31";"";"шт";"550";"";"";"";"";""
"2";"2000000000022";"";"";"15*20 Багетная рама №1.2";"";"шт";"79";"";"";"";"";""
"3";"2000000000039";"";"";"15*20 Багетная рама №3А.6";"";"шт";"95";"";"";"";"";""
"4";"2000000000046";"";"";"15*20 Багетная рама №9.6";"";"шт";"85";"";"";"";"";""
"5";"2000000000053";"";"";"21*30 Пластиковая ЧЕРНАЯ";"";"шт";"60";"";"";"";"";""
"10";"2000000000107";"";"";"15*20 Багетная рама №3А.3";"";"шт";"95";"";"";"";"";""
"13";"2000000000138";"";"";"15*20 Фоторамка новая";"";"шт";"35";"";"";"";"";""
"13";"2000000000138";"";"";"15*20 Фоторамка новая";"";"шт";"36";"";"";"";"";""
"13";"2000000000138";"";"";"15*20 Фоторамка новая";"";"шт";"40";"";"";"";"";""
"14";"2000000000145";"";"";"15*20 Фоторамка яблоко";"";"шт";"36";"";"";"";"";""
"14";"2000000000145";"";"";"15*20 Фоторамка яблоко";"";"шт";"40";"";"";"";"";""
"15";"2000000000152";"";"";"15*20 Фоторамка широкая";"";"шт";"40";"";"";"";"";""
"16";"2000000000169";"";"";"10*15 фоторамка узор";"";"шт";"25";"";"";"";"";""
"16";"2000000000169";"";"";"10*15 фоторамка узор";"";"шт";"26";"";"";"";"";""
"16";"2000000000169";"";"";"10*15 фоторамка узор";"";"шт";"30";"";"";"";"";""
"16";"2000000000169";"";"";"10*15 фоторамка узор";"";"шт";"30";"";"";"";"";""
"18";"2000000000183";"";"";"10*15 Фоторамка широкая";"";"шт";"30";"";"";"";"";""
"19";"2000000000190";"";"";"10*15 Фоторамка узкая";"";"шт";"25";"";"";"";"";""
"19";"2000000000190";"";"";"10*15 Фоторамка узкая";"";"шт";"30";"";"";"";"";""
"19";"2000000000190";"";"";"10*15 Фоторамка узкая";"";"шт";"30";"";"";"";"";""
"20";"2000000000206";"";"";"21*30 Фоторамка широкая";"";"шт";"65";"";"";"";"";""
"21";"2000000000213";"";"";"15*20 Фоторамка ажурная";"";"шт";"40";"";"";"";"";""
"22";"2000000000220";"";"";"15*20 Фоторамка узкая";"";"шт";"40";"";"";"";"";""
"23";"2000000000237";"";"";"21*30 Фоторамка узкая";"";"шт";"58";"";"";"";"";""
"24";"2000000000244";"";"";"30*40 Фоторамка новая";"";"шт";"320";"";"";"";"";""
"24";"2000000000244";"";"";"30*40 Фоторамка новая";"";"шт";"95";"";"";"";"";""
"25";"2000000000251";"";"";"15*20 Фоторамка новая широкая";"";"шт";"36";"";"";"";"";""
"25";"2000000000251";"";"";"15*20 Фоторамка новая широкая";"";"шт";"40";"";"";"";"";""
"26";"2000000000268";"";"";"15*20 Фоторамка узор";"";"шт";"40";"";"";"";"";""
"61";"2000000000619";"";"";"10*15 Фоторамка АПЕЛЬСИН металл";"";"шт";"75";"";"";"";"";""
"65";"2000000000657";"";"";"15*20 Фоторамка ЦВЕТНАЯ";"";"шт";"45";"";"";"";"";""
"65";"2000000000657";"";"";"15*20 Фоторамка ЦВЕТНАЯ";"";"шт";"46";"";"";"";"";""
"69";"2000000000695";"";"";"10*15 Фоторамка ПЛАСТИК";"";"шт";"40";"";"";"";"";""
"73";"2000000000732";"";"";"10*15 Фоторамка н.";"";"шт";"35";"";"";"";"";""
"75";"2000000000756";"";"";"10*15 Фоторамка КОСИЧКА";"";"шт";"36";"";"";"";"";""
"76";"2000000000763";"";"";"30*40 Фоторамка ТЕМНАЯ";"";"шт";"115";"";"";"";"";""
"77";"2000000000770";"";"";"20*30 Фоторамка ТЕМНАЯ";"";"шт";"55";"";"";"";"";""
"79";"2000000000794";"";"";"20*30 Фоторамка БЕЛАЯ";"";"шт";"58";"";"";"";"";""
"80";"2000000000800";"";"";"20*30 Фоторамка ТЕПЛЫЕ ВОСПОМИНАНИЯ";"";"шт";"55";"";"";"";"";""
"81";"2000000000817";"";"";"20*30 Фоторамка ОРНАМЕНТ";"";"шт";"70";"";"";"";"";""
"82";"2000000000824";"";"";"20*30 Фоторамка ЦВЕТНАЯ";"";"шт";"58";"";"";"";"";""
"83";"2000000000831";"";"";"30*40 Фоторамка ЗОЛОТО";"";"шт";"105";"";"";"";"";""
"84";"2000000000848";"";"";"30*40 Фоторамка ЦВЕТНАЯ";"";"шт";"130";"";"";"";"";""
"86";"2000000000862";"";"";"10*15 Фоторамка СТЕКЛО";"";"шт";"70";"";"";"";"";""
"164";"2000000001647";"";"";"20*30 Фоторамка КОСИЧКА";"";"шт";"75";"";"";"";"";""
"167";"2000000001678";"";"";"10*15 Фоторамка КОСИЧКА узкая";"";"шт";"35";"";"";"";"";""
"167";"2000000001678";"";"";"10*15 Фоторамка КОСИЧКА узкая";"";"шт";"45";"";"";"";"";""
"177";"2000000001777";"";"";"Футболка B&C #E150/women";"";"шт";"185";"";"";"";"";""
"178";"2000000001784";"";"";"Футболка B&C #E150";"";"шт";"185";"";"";"";"";""
"179";"2000000001791";"";"";"Футболка FOL Ladi Fit Valueveight Tee";"";"шт";"165";"";"";"";"";""
"180";"2000000001807";"";"";"Тенниска унисекс B&C ID.001";"";"шт";"385";"";"";"";"";""
"181";"2000000001814";"";"";"Футболка унисекс FOL Valueweight T";"";"шт";"165";"";"";"";"";""
"184";"2000000001845";"";"";"Чашка ЦВЕТНАЯ";"";"шт";"160";"";"";"";"";""
"184";"2000000001845";"";"";"Чашка ЦВЕТНАЯ";"";"шт";"170";"";"";"";"";""
"185";"2000000001852";"";"";"Чашка БЕЛАЯ";"";"шт";"120";"";"";"";"";""
"185";"2000000001852";"";"";"Чашка БЕЛАЯ";"";"шт";"140";"";"";"";"";""
"186";"2000000001869";"";"";"Кружка для сублимайции хамелеон черная матовая";"";"шт";"185";"";"";"";"";""
"186";"2000000001869";"";"";"Кружка для сублимайции хамелеон черная матовая";"";"шт";"195";"";"";"";"";""
"187";"2000000001876";"";"";"Кружка для сублимации хамелеон";"";"шт";"185";"";"";"";"";""
"190";"2000000001906";"";"";"Кружка для сублимайции хамелеон блестки";"";"шт";"225";"";"";"";"";""
"191";"2000000001913";"";"";"Кружка для сублимайции I love you";"";"шт";"200";"";"";"";"";""
"194";"2000000001944";"";"";"Кружка для сублимации белая сердце";"";"шт";"150";"";"";"";"";""
"194";"2000000001944";"";"";"Кружка для сублимации белая сердце";"";"шт";"160";"";"";"";"";""
"195";"2000000001951";"";"";"Кружка для сублимайции хамелеон черная глянцевая";"";"шт";"225";"";"";"";"";""
"203";"2000000002033";"";"";"Кружка для сублимации Латте 500мл";"";"шт";"250";"";"";"";"";""
"204";"2000000002040";"";"";"Кружка для сублимации стекло";"";"шт";"160";"";"";"";"";""
